section,year,authors,title,journal,volume,link,titulo original
abstract,2025,"**Arbo-Meneses, B.**; Biasotto, L.; Clark, B.; Mohamed, K.; Sherif, N.; Sanghera, S.;  Auchincloss, C.; Allinson, T.",Mapping avian sensitivity in a seemingly homogeneous desert landscape: A case study from Egypt,8th Conference on Wind energy and Wildlife impacts (CWW 2025) - Oral presentation,,,
abstract,2025,"Biasotto, L.; **Arbo-Meneses, B.**; Sanghera, S.;  Clark, B.; Auchincloss, C.; Allinson, T.",Bird sensitivity index at onshore wind farms: a novel trait-based approach to identify priority species. (Oral presentation),8th Conference on Wind energy and Wildlife impacts (CWW 2025) - Oral presentation,,,
abstract,2025,"Clark, B.; Auchincloss, C.; Biasotto, L.; **Arbo-Meneses, B.**; Sanghera, S.;, Vulcano, A.; Celada, C.; Gaibani, G.; Gustin, M.; Maurer, G.; Maguire, G.; Ehmke, G.; Kim, Y.; Allinson, T.",Innovative data integration for mapping avian sensitivity to offshore wind,8th Conference on Wind energy and Wildlife impacts (CWW 2025),,,
abstract,2024,"**Arbo-Meneses, B.**; Biasotto, L.; Clark, B.; Allinson, T.",AVISTEP: a sensitivity mapping tool to improve bird conservation in energy planning,Wingspan 2024: Partnerships for a bird-friendly energy transition  - Oral presentation,,,
abstract,2016,"**Meneses, B.A.**; Dala-Corte, R.B.; Guimarães, T.F.R.; Becker, F.G.",Is environmental pressure on watersheds related to the ichthyofauna of streams?,"1° Reunião da ABECO e 5° Simpósio de Ecologia Teórica, Gramado.",,,Pressão ambiental sobre bacias hidrográficas possui relação com ictiofauna de riachos?
abstract,2015,"Krob, A.; **Meneses, B.A.**; Castilho, C.S.; Ximenes, S.; Kindel, A.; Mahler Jr., J.K.",[Definition of ecological corridors as a strategy to protect important remnants of wetlands and conservation of the marsh deer (*Blastocerus dichotomus*) in Rio Grande do Sul](https://www.researchgate.net/profile/Andreas-Kindel-2/publication/327733524_DEFINICAO_DE_CORREDORES_ECOLOGICOS_COMO_ESTRATEGIA_DE_PROTECAO_DE_IMPORTANTES_REMANESCENTES_DE_AREAS_UMIDAS_E_CONSERVACAO_DO_CERVO-DOPANTANAL_BLASTOCERUS_DICHOTOMUS_NO_RIO_GRANDE_DO_SUL/links/5ba1938d45851574f7d57c66/DEFINICAO-DE-CORREDORES-ECOLOGICOS-COMO-ESTRATEGIA-DE-PROTECAO-DE-IMPORTANTES-REMANESCENTES-DE-AREAS-UMIDAS-E-CONSERVACAO-DO-CERVO-DOPANTANAL-BLASTOCERUS-DICHOTOMUS-NO-RIO-GRANDE-DO-SUL.pdf),"VIII Congresso Brasileiro de Unidades de Conservação, Curitiba. Anais do VIII Congresso Brasileiro de Unidades de Conservação.",,,Definição de corredores ecológicos como estratégia de proteção de importantes remanescentes de áreas úmidas e conservação do cervo-do-pantanal (Blastocerus dichotomus) no Rio Grande do Sul
abstract,2013,"Becker, F.G.; **Meneses, B.A.**; Brack, I.V.; Lopes, K.G.D.",A preliminary assessment of the fragmentation of brazilian hydrographic systems and implications for the conservation of ichthiofauna,"XX Encontro Brasileiro de Ictiologia, Maringá. Resumos do XX Encontro Brasileiro de Ictiologia.",,,UMA AVALIAÇÃO PRELIMINAR DA FRAGMENTAÇÃO DE SISTEMAS HIDROGRÁFICOS BRASILEIROS E IMPLICAÇÕES PARA CONSERVAÇÃO DA ICTIOFAUNA
abstract,2013,"Fries, L.C.C.; **Meneses, B.A.**; Hahn, L.; Camara, L.F.; Becker, F.G.; Hartz, S.M.",Movements and distribution of migratory fish in an environment altered by a hydroelectric plant without a transposition system.,"XX Encontro Brasileiro de Ictiologia, Maringá. Resumos do XX Encontro Brasileiro de Ictiologia.",,,Distribuição no espaço e movimentos de peixe migrador em ambiente alterado por usina hidrelétrica sem sistema de transposição.
abstract,2012,"Guimarães, T.F.R.; **Meneses, B.A.**; Ayudos, B.B.; Blum, G.B.; Schuh, G.; Fonte, L.F.M.; Borges-Martins, M.; Kindel, A.; Guadagnin, D.L.; Becker, F.G.",Do national red lists induce priorization of research on endangered species? A case study on Brazilian vertebrates.,"40th Annual Meeting of the Association for Tropical Biology and Conservation, Bonito. Livro de Programação e Resumos.",,,
abstract,2012,"**Meneses, B.A.**; Castilho, C.S.; Ximenes, S.; Mahler Jr., J.K.; Kindel, A.; Krob, A.",Wetlands connectivity of wetlands using the marsh deer as a target species: an experience in Rio Grande do Sul,"II Congresso Brasileiro de Ecologia de Paisagens, Salvador. Anais II Congresso Brasileiro de Ecologia de Paisagens. - Oral presentation",,,Conectividade de áreas úmjdas utilizando o Cervo-do-pantanal como espécie alvo: uma experiência no Rio Grande do sul.
abstract,2011,"**Meneses, B.A.**; Guimarães, T.F.R.; Becker, F.G.",Spatial distribution model of an endangered stream fish as a tool for conservation status assessment.,"XIX Encontro Brasileiro de Ictiologia, Manaus. Livro de Programação e Resumos.",,,Modelagem de distribuição de um peixe de riacho ameaçado de extinção como auxílio para avaliação do estado de conservação.
articles,2024,"Valencia-Zuleta, A.; Richter, A.; Alvarenga, G.V.; Batista, F.R.Q.; Moreira, L.F.B.; **Arbo-Meneses, B.**; Lustosa, A.P.G.; Strüssmann, C.; Abrahão, C.R.; Côrtes, L.G.",[Fire and herpetofauna in the Pantanal: observations during and post-fire events](http://dx.doi.org/10.37002/biodiversidadebrasileira.v14i4.2556),Biodiversidade Brasileira,"v. 14, n. 4",http://dx.doi.org/10.37002/biodiversidadebrasileira.v14i4.2556,O fogo e a herpetofauna no Pantanal: observações durante e após os incêndios
articles,2023,"Tonella, Lívia Helena, Renata Ruaro, Vanessa Salete Daga, Diego Azevedo Zoccal Garcia, Oscar Barroso Vitorino Júnior, Tatiana Lobato‐de Magalhães, Roberto Esser dos Reis, et al.",[NEOTROPICAL FRESHWATER FISHES: A Dataset of Occurrence and Abundance of Freshwater Fishes in the Neotropics.](https://doi.org/10.1002/ecy.3713),Ecology,e3713,https://doi.org/10.1002/ecy.3713,
articles,2019,"Fries, L.C.C.; Hahn, L.; **Meneses, B.A.**; Câmara, L.F.; Becker, F.G.; Hartz, S.M.",[Movement and longitudinal distribution of a migratory fish (*Salminus brasiliensis*) in a small reservoir in southern Brazil](https://www.scielo.br/j/ni/a/mNShP5gc7nk6tFjLxPBD5nd/?lang=en),Neotropical Ichthyology,"v. 17, n. 3.",https://www.scielo.br/j/ni/a/mNShP5gc7nk6tFjLxPBD5nd/?lang=en,
articles,2010,"Becker, F.G.; Fries, L.C.C.; Guimarães, T.F.R.; **Meneses, B.A.**",[Research on reproduction of natural fish populations in Brazil (2001-2010): a brief overview of trends and gaps](https://www.researchgate.net/publication/255992820_Pesquisa_sobre_reproducao_de_populacoes_naturais_de_peixes_no_Brasil_2001-2010_um_breve_panorama_sobre_tendencias_e_lacunas),Boletim - Sociedade Brasileira de Ictiologia,"v. 100, p. 40-44.",https://www.researchgate.net/publication/255992820_Pesquisa_sobre_reproducao_de_populacoes_naturais_de_peixes_no_Brasil_2001-2010_um_breve_panorama_sobre_tendencias_e_lacunas,Pesquisa sobre reprodução de populações naturais de peixes no Brasil (2001-2010): um breve panorama sobre tendências e lacunas
